EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC
6,6,6,6,6,6,6,6,6,3,5,6,5,5,5,5,6,7,6,7,6,6,5,5,5,4,6,4,5,5,4,3,4,3,6,6,6,6,6,6,6,6,7,5,5,5,6,7,6,0.4816650117163124,-0.16378249946377013,0.05809347952343144
4,4,4,3,4,4,6,4,4,1,2,4,4,4,4,4,7,7,7,6,6,6,5,5,6,4,6,4,5,4,6,5,4,6,4,5,6,6,6,5,5,7,7,5,5,5,6,7,6,-0.10061179155386411,-0.16378249946377013,0.05809347952343144
5,4,5,5,5,5.537593984962406,5,5,4,4,5,5.169172932330827,4,5,5,5,7,6,6,6,7,6,6,6,5,5,6,6,5,6,4,4,3,3,5,5,6,5,5,5,5,6,7,5,4,4,7,6,6,-0.3744402035483145,-0.7645813298952326,-0.2804008570326363
6,6,6,6,6,6,7,6,6,4,5,6,5,5,5,5,7,6,7,6,5,5,5,5,5,4,5,5,4,4,3,3,5,6,4,5,6,6,6,4,5,7,7,5,5,5,6,7,6,-0.2549242554845766,-0.16378249946377013,0.05809347952343144
5,5,5,5,5,5,7,6,4,4,4,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,5,6,5,-1.1224041852705056,-1.8214171218226423,-1.3738805802271608
5,4,4,4,5,5,7,6,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,4,5,4,4,5,5,5,4,4,5,7,3,3,3,6,6,6,-1.1224041852705056,-1.8214171218226423,-0.5699893294414762
5,5,5,5,5,5,7,5,5,2,5,5,5,5,5,5,6,6,6,6,6,2,2,2,3,4,5,5,4,5,2,2,2,4,5,5,5,5,5,5,5,7,7,6,6,6,7,7,7,-0.2864663606635387,0.665034811715666,0.8619847303091158
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.4816650117163124,0.665034811715666,-0.5699893294414762
5,4,4,4,3,3,5,4,5,4,5,5,5,5,5,5,7,7,7,7,7,5,5,6,6,6,7,7,6,7,7,5,5,6,5,6,6,6,7,6,6,7,7,3,6,5,6,5,6,0.6271745751309021,-0.3391029433282411,-1.1980721384063837
6,6,6,6,6,6,6,5,5,6,5,4,3,3,3,3,7,7,7,7,7,6,6,6,5,5,6,6,6,6,5,6,5,5,6,6,6,6,7,6,5,6,7,5,5,5,7,7,7,0.5116619475191272,-0.16378249946377013,0.8619847303091158
